sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	2157	Archaea	superkingdom	0.9873293411345241	0.9985610185209506	23448899	23151786	23185149.0	0.9944237918215614	0.9834558823529411	538	535	544.0
pool	2	Bacteria	superkingdom	0.9994627659510216	0.9571462936029488	2654915493	2653489182	2772292177.0	0.9975065705236202	0.7224011713030747	29678	29604	40980.0
pool	2759	Eukaryota	superkingdom	0.0		11299884	0		0.0		259	0	
pool	10239	Viruses	superkingdom			82671	0				2	0	
pool	201174	Actinobacteria	phylum	0.9979222090985855	0.9910928781245557	639020028	637692278	643423328.0	0.9933575834255891	0.7875862068965517	6323	6281	7975.0
pool	1224	Proteobacteria	phylum	0.9937394590902557	0.9504584363182833	1454797937	1445690115	1521045066.0	0.9921117213976861	0.7275882756256428	17114	16979	23336.0
pool	4890	Ascomycota	phylum	0.0		7381335	0		0.0		78	0	
pool	28890	Euryarchaeota	phylum	0.9916940571567502	0.9985610185209506	23345694	23151786	23185149.0	0.9962756052141527	0.9834558823529411	537	535	544.0
pool	1239	Firmicutes	phylum	0.9774126276942483	0.8776825686581795	241965773	236500402	269460065.0	0.9692402337742233	0.6392777439642929	3251	3151	4929.0
pool	976	Bacteroidetes	phylum	0.9963492502262115	0.8774020301167017	260367064	259416529	295664382.0	0.9848970251716247	0.5972800444074382	2185	2152	3603.0
pool	200918	Thermotogae	phylum	0.9943047111078991	0.6143852292820355	3763637	3742202	6090970.0	0.9714285714285714	0.2698412698412698	35	34	126.0
pool	74201	Verrucomicrobia	phylum	0.9983437597449295	0.3819307347265839	6285320	6274910	16429445.0	0.9523809523809523	0.15748031496062992	21	20	127.0
pool	40117	Nitrospirae	phylum	1.0	0.35315250719730523	746682	746682	2114333.0	1.0	0.18269230769230768	19	19	104.0
pool	32066	Fusobacteria	phylum	0.7496363961113521	0.2999215881264336	2664988	1997772	6660981.0	0.8974358974358975	0.15730337078651685	78	70	445.0
pool	7711	Chordata	phylum	0.0		986720	0		0.0		76	0	
pool	35493	Streptophyta	phylum	0.0		2090657	0		0.0		49	0	
pool	1117	Cyanobacteria	phylum	0.0		6073832	0		0.0		14	0	
pool	203691	Spirochaetes	phylum	0.9258999023449478	0.6759583150274111	3669037	3397161	5025696.0	0.8780487804878049	0.5070422535211268	41	36	71.0
pool	5794	Apicomplexa	phylum			57996	0				16	0	
pool	544448	Tenericutes	phylum	0.975640805189021	0.5581532612303098	1773745	1730538	3100471.0	0.926829268292683	0.3333333333333333	41	38	114.0
pool	65842	Fibrobacteres	phylum	1.0	0.19284929701230227	632052	632052	3277440.0	1.0	0.12666666666666668	19	19	150.0
pool	200930	Deferribacteres	phylum			204368	0				2	0	
pool	6656	Arthropoda	phylum			212712	0				14	0	
pool	508458	Synergistetes	phylum			69605	0				1	0	
pool	57723	Acidobacteria	phylum			89917	0				2	0	
