sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	2157	Archaea	superkingdom	0.9952105081370719	0.9993055037084299	23280549	23169047	23185149.0	0.996309963099631	0.9926470588235294	542	540	544.0
pool	2	Bacteria	superkingdom	0.9991538799835904	0.9792832265384992	2717158270	2714859228	2772292177.0	0.9966543608675589	0.8432406051732553	34672	34556	40980.0
pool	2759	Eukaryota	superkingdom	0.0		12722543	0		0.0		380	0	
pool	10239	Viruses	superkingdom			48206	0				2	0	
pool	201174	Actinobacteria	phylum	0.9988241658910283	0.9962997797928769	641797167	641042520	643423328.0	0.9894766780432309	0.8724764890282132	7032	6958	7975.0
pool	1224	Proteobacteria	phylum	0.9955323601220405	0.9699327166418092	1481932112	1475311373	1521045066.0	0.9919895208826641	0.8437607130613645	19849	19690	23336.0
pool	976	Bacteroidetes	phylum	0.9956076052351104	0.9483456549730769	281629058	280392032	295664382.0	0.9819689866570501	0.7557590896475159	2773	2723	3603.0
pool	4890	Ascomycota	phylum	0.0		9620826	0		0.0		107	0	
pool	28890	Euryarchaeota	phylum	0.9952105081370719	0.9993055037084299	23280549	23169047	23185149.0	0.996309963099631	0.9926470588235294	542	540	544.0
pool	1239	Firmicutes	phylum	0.9799148280032123	0.9578416972474195	263390326	258100086	269460065.0	0.9568838804507594	0.7924528301886793	4082	3906	4929.0
pool	74201	Verrucomicrobia	phylum	0.9981291993626537	0.7495658556938473	12338033	12314951	16429445.0	0.9433962264150944	0.3937007874015748	53	50	127.0
pool	40117	Nitrospirae	phylum	0.9847369553769085	0.6730269073036272	1445059	1423003	2114333.0	0.9787234042553191	0.4423076923076923	47	46	104.0
pool	200918	Thermotogae	phylum	1.0	0.6684186590969912	4071318	4071318	6090970.0	1.0	0.38095238095238093	48	48	126.0
pool	32066	Fusobacteria	phylum	0.9355404994056383	0.5546086980281133	3948774	3694238	6660981.0	0.9518072289156626	0.3550561797752809	166	158	445.0
pool	7711	Chordata	phylum	0.0		1069997	0		0.0		137	0	
pool	35493	Streptophyta	phylum	0.0		1381000	0		0.0		71	0	
pool	1117	Cyanobacteria	phylum	0.0		6682062	0		0.0		23	0	
