sample_id	Bin ID	Mapped genome	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	bin.1.fa	1030743	1.0	1.0	3607646	3607646	3607646.0	1.0	1.0	3	3	3.0
pool	bin.241.fa	1220_F	0.49984253787075245	1.0	9456242	4726632	4726632.0	0.11940298507462686	1.0	67	8	8.0
pool	bin.555.fa	1030746	1.0	1.0	3547923	3547923	3547923.0	1.0	1.0	2	2	2.0
pool	bin.495.fa	1220_K	1.0	0.9998007728567985	3874202	3874202	3874974.0	1.0	0.6666666666666666	2	2	3.0
pool	bin.572.fa	1287_H	1.0	0.9997138082450929	4041587	4041587	4042744.0	1.0	0.6666666666666666	6	6	9.0
pool	bin.456.fa	1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333.0	1.0	0.8333333333333334	10	10	12.0
pool	bin.536.fa	1049029	1.0	0.9996181256724079	4025965	4025965	4027503.0	1.0	0.9230769230769231	12	12	13.0
pool	bin.42.fa	1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912.0	1.0	0.7692307692307693	10	10	13.0
pool	bin.276.fa	1365_D	1.0	0.9995697672584279	2787988	2787988	2789188.0	1.0	0.85	17	17	20.0
pool	bin.523.fa	1048927	1.0	0.9995179914702538	4929071	4929071	4931448.0	1.0	0.8	4	4	5.0
pool	bin.157.fa	1287_BW	0.500436894844319	0.9993809480405355	6835741	3420857	3422976.0	0.5	0.6666666666666666	12	6	9.0
pool	bin.527.fa	1365_H	1.0	0.9993080825302809	3422894	3422894	3425264.0	1.0	0.7857142857142857	11	11	14.0
pool	bin.533.fa	1220_BW	1.0	0.9993031147571084	3592061	3592061	3594566.0	1.0	0.625	5	5	8.0
pool	bin.141.fa	1048888	0.9996142176377704	0.9992942130214687	8634402	8631071	8637167.0	0.9736842105263158	0.9024390243902439	38	37	41.0
pool	bin.328.fa	1053016	0.20443066677735003	0.9991893120411175	37247396	7614510	7620688.0	0.19117647058823528	0.9069767441860465	204	39	43.0
pool	bin.245.fa	1285_CL	0.4228527848784317	0.9991521536604147	7953884	3363322	3366176.0	0.42857142857142855	0.6666666666666666	14	6	9.0
pool	bin.169.fa	1048912	1.0	0.9990842712637128	5610058	5610058	5615200.0	1.0	0.8333333333333334	10	10	12.0
pool	bin.66.fa	1036563	1.0	0.998898834905855	3704715	3704715	3708799.0	1.0	0.8	12	12	15.0
pool	bin.315.fa	1021_AG	1.0	0.998607751237965	3919122	3919122	3924586.0	1.0	0.75	3	3	4.0
